Transaction_ID,Timestamp,SKU_ID,Quantity_Sold,Merchant_ID
TXN_1044,2026-06-20 15:08:26.361950,SKU_101,1,MERCH_69
TXN_1047,2026-06-20 15:08:26.361950,SKU_105,5,MERCH_38
TXN_1004,2026-06-10 15:08:26.361950,SKU_101,3,MERCH_79
TXN_1055,2026-06-22 15:08:26.361950,SKU_105,4,MERCH_60
TXN_1026,2026-06-15 15:08:26.361950,SKU_104,1,MERCH_20
TXN_1064,2026-06-25 15:08:26.361950,SKU_101,3,MERCH_73
TXN_1073,2026-06-27 15:08:26.361950,SKU_102,5,MERCH_97
TXN_1010,2026-06-11 15:08:26.361950,SKU_104,0,MERCH_81
TXN_1040,2026-06-19 15:08:26.361950,SKU_101,3,MERCH_92
TXN_1107,2026-07-05 15:08:26.361950,SKU_105,4,MERCH_25
TXN_1018,2026-06-13 15:08:26.361950,SKU_104,1,MERCH_29
TXN_1062,2026-06-24 15:08:26.361950,SKU_104,1,MERCH_56
TXN_1011,2026-06-11 15:08:26.361950,SKU_105,2,MERCH_93
TXN_1036,2026-06-18 15:08:26.361950,SKU_101,3,MERCH_56
TXN_1089,2026-07-01 15:08:26.361950,SKU_102,7,MERCH_72
TXN_1091,2026-07-01 15:08:26.361950,SKU_105,3,MERCH_49
TXN_1109,2026-07-06 15:08:26.361950,SKU_102,22,MERCH_53
TXN_1000,2026-06-09 15:08:26.361950,SKU_101,3,MERCH_24
TXN_1088,2026-07-01 15:08:26.361950,SKU_101,1,MERCH_86
TXN_1104,2026-07-05 15:08:26.361950,SKU_101,2,MERCH_95
TXN_1065,2026-06-25 15:08:26.361950,SKU_102,5,MERCH_16
TXN_1045,2026-06-20 15:08:26.361950,SKU_102,8,MERCH_44
TXN_1031,2026-06-16 15:08:26.361950,SKU_105,1,MERCH_94
TXN_1070,2026-06-26 15:08:26.361950,SKU_104,1,MERCH_86
TXN_1042,2026-06-19 15:08:26.361950,SKU_104,2,MERCH_31
TXN_1012,2026-06-12 15:08:26.361950,SKU_101,3,MERCH_79
TXN_1015,2026-06-12 15:08:26.361950,SKU_105,3,MERCH_10
TXN_1114,2026-07-07 15:08:26.361950,SKU_104,2,MERCH_90
TXN_1076,2026-06-28 15:08:26.361950,SKU_101,3,MERCH_53
